total_time,time in fail,time in non-fail,terminated,seq_filename
9.6,0.2,9.4,True,
11.6,1.1,10.5,True,
12.0,0.6000000000000001,11.4,True,
14.3,1.7000000000000002,12.6,True,
11.1,0.4,10.7,True,
12.9,0.0,12.9,True,
10.1,0.0,10.1,True,
11.2,0.7000000000000001,10.5,True,
9.9,1.1,8.8,True,
12.1,0.1,12.0,True,
8.5,0.0,8.5,True,
10.6,0.5,10.1,True,
11.3,0.4,10.9,True,
10.3,0.0,10.3,True,
13.6,2.1,11.5,True,
9.5,0.0,9.5,True,
13.3,2.4000000000000004,10.9,True,
13.6,0.4,13.2,True,static_map_warm_hj_0
10.2,0.0,10.2,True,static_map_warm_hj_1
12.0,1.1,10.9,True,static_map_warm_hj_2
12.2,1.3,10.9,True,static_map_warm_hj_3
9.8,0.6000000000000001,9.2,True,static_map_warm_hj_4
9.2,0.0,9.2,True,
9.2,0.0,9.2,True,
10.100000000000001,0.0,10.100000000000001,True,mppi_0
